Unnamed: 0,zip_code,id,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
1005,92101,c:6669,Bandsintown,1,01/01/2007,,04/01/2009,01/01/2010,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,music,0,0,0,0,0,0,0,0,0,1,c:6669,0,1,0,0,0,0,1,0,acquired
204,95032,c:16283,TriCipher,1,01/01/2000,,2/14/2005,12/28/2009,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:16283,1,0,0,1,1,1,4.75,1,acquired
1001,92121,c:65620,Plixi,1,3/18/2009,,3/30/2010,3/30/2010,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,web,0,1,0,0,0,0,0,0,0,0,c:65620,0,0,1,0,0,0,4,1,acquired
738,95014,c:42668,Solidcore Systems,1,01/01/2002,,2/17/2005,4/25/2007,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,software,1,0,0,0,0,0,0,0,0,0,c:42668,0,0,0,1,1,1,3.3333,1,acquired
1002,94105,c:65806,Inhale Digital,0,08/01/2010,10/01/2012,08/01/2010,04/01/2012,0,1.6685,0.0384,0.0384,2,2,1300000,1,games_video,0,0,0,0,0,1,0,0,0,0,c:65806,1,1,0,0,0,0,1,1,closed
379,94043,c:22898,Matisse Networks,0,01/01/2002,2/15/2009,7/18/2006,;.////.5,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,network_hosting,0,0,0,0,0,0,0,0,0,1,c:22898,0,0,0,1,0,0,3,1,closed
195,94041,c:16191,RingCube Technologies,1,01/01/2005,,9/21/2006,3/18/2010,1.7205,5.211,3,6.6082,6,3,26000000,2,software,1,0,0,0,0,0,0,0,0,0,c:16191,1,0,1,1,0,0,1.6667,1,acquired
875,94901,c:5192,ClairMail,1,01/01/2004,,8/24/2005,10/04/2010,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,finance,0,0,0,0,0,0,0,0,0,1,c:5192,0,0,1,1,0,1,3.5,1,acquired
16,1267,c:1043,VoodooVox,1,01/01/2002,,08/02/2005,02/08/2013,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,mobile,0,0,1,0,0,0,0,0,0,0,c:1043,1,0,1,0,0,1,4,1,acquired
846,94306,c:498,Doostang,1,06/01/2005,,02/01/2007,02/05/2010,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,web,0,1,0,0,0,0,0,0,0,0,c:498,1,1,1,0,0,0,1,1,acquired
685,94025,c:3949,Zong,1,11/15/2000,,07/01/2005,4/26/2010,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,mobile,0,0,1,0,0,0,0,0,0,0,c:3949,0,0,1,1,0,0,1,1,acquired
835,94025,c:4829,Center'd,0,01/01/2006,12/02/2011,02/01/2007,05/03/2011,1.0849,5.337,-0.6164,4.6082,8,5,10400000,2,web,0,1,0,0,0,0,0,0,0,0,c:4829,1,1,1,0,0,0,1.75,1,closed
531,40204,c:30290,Resonant Vibes,0,01/01/2004,4/27/2012,11/25/2008,11/25/2008,4.9041,4.9041,,,0,1,350000,0,web,0,1,0,0,0,0,0,0,0,0,c:30290,1,0,0,0,0,0,1,0,closed
137,11201,c:1491,drop.io,1,11/26/2007,,12/03/2007,05/03/2010,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,education,0,0,0,0,0,0,0,0,0,1,c:1491,0,0,1,1,1,0,2.3333,1,acquired
162,80202,c:15645,Stratavia,1,01/01/2001,,8/31/2005,12/29/2009,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,software,1,0,0,0,0,0,0,0,0,0,c:15645,0,0,1,1,0,0,2.5,1,acquired
898,22182,c:54177,Invicta Networks,0,01/01/1999,3/28/2010,08/09/2005,08/09/2005,6.6082,6.6082,,,0,1,200000,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:54177,1,0,0,0,0,0,1,0,closed
